sum            : sum
difference     : difference
numerator      : numerator
denominator    : denominator
distributive   : distributive
associative    : associative
commutative    : commutative
Identity       : Identity
Inverse        : Inverse
graphing       : graphing
origin         : origin
variable       : variable
quotient       : quotient
perimeter      : perimeter
area           : area
whisker        : whisker
integer        : integer
even           : even
odd            : odd
quadrant       : quadrant
fraction       : fraction
increase       : increase
decrease       : decrease
product        : product
mean           : mean
median         : median
range          : range
mode           : mode
power          : power
pair           : pair
quartiles      : quartiles
percent        : percent
greater than   : greater than
prime          : prime
relation       : relation
coefficient    : coefficient
calculator     : calculator
addition       : addition
subtraction    : subtraction
equation       : equation
multiplication : multiplication
division       : division
three          : three
dozen          : dozen
gross          : gross
equal          : equal
reflection     : reflection
translation    : translation
rotation       : rotation
dilation       : dilation
expression     : expression
positive       : positive
negative       : negative
zero           : zero
